,Event/Tabling,Event Date,Event Name,Event ID,Engagement Type
255,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
256,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
257,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
258,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
259,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
260,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
261,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
262,Community Event,2025-06-07,5k & Fun Run,E8,Number Adults Engaged
263,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Kids Engaged
264,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Kids Engaged
265,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Kids Engaged
266,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Kids Engaged
267,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
268,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
269,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
270,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
271,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
272,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
273,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
274,Partner Tabling,2025-06-09,HELP Pregnancy Aid,E9,Number Adults Engaged
275,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
276,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
277,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
278,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
279,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
280,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
281,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
282,Community Event,2025-06-09,Diaper Day,E10,Number Kids Engaged
283,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
284,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
285,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
286,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
287,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
288,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
289,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
290,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
291,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
292,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
293,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
294,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
295,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
296,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
297,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
298,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
299,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
300,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
301,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
302,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
303,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
304,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
305,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
306,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
307,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
308,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
309,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
310,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
311,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
312,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
313,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
314,Community Event,2025-06-09,Diaper Day,E10,Number Adults Engaged
315,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
316,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
317,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
318,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
319,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
320,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
321,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
322,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
323,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
324,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
325,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
326,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
327,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
328,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
329,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
330,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
331,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
332,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
333,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
334,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
335,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
336,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
337,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
338,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
339,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
340,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
341,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
342,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
343,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
344,Community Event,2025-06-10,Storytime in the Park at Lincoln Park,E11,Number Kids Engaged
